Date,Time,Area Affected,Event Type
2005-01-23 00:00:00,10:42 a.m.,Island of Puerto Rico,Voltage Reduction
2005-01-24 00:00:00,6:38 a.m.,Island of Puerto Rico,Voltage Reduction/Shed Load
2005-01-24 00:00:00,12:27 p.m.,Island of Puerto Rico,Voltage Reduction/Shed Load
2005-01-29 00:00:00,10:00 a.m.,Parts of Alabama and Georgia,Ice Storm
2005-01-29 00:00:00,4:00 p.m.,Georgia,Ice Storm
2005-02-01 00:00:00,5:78 p.m.,Island of Puerto Rico,Voltage Reduction
2005-02-15 00:00:00,1:12 p.m.,Island of Puerto Rico,Generator Loss
2005-02-16 00:00:00,1:26 p.m. ,Island of Puerto Rico,Load Shedding
2005-02-18 00:00:00,8:16 a.m.,Island of Puerto Rico,Generator Loss/Voltage Reduction
2005-02-24 00:00:00,12:58 a.m.,Island of Puerto Rico,Voltage Reduction
2005-03-08 00:00:00,11:00 a.m.,Eastern and Central North Carolina,Wind Storms
2005-04-01 00:00:00,Midnight,"Cleveland, Ohio and northeast Ohio ",Winter Storm
2005-04-22 00:00:00,3:51 p.m.,"San Francisco Bay area, California",Lightning Strike
2005-04-23 00:00:00,4:22 a.m.,Island of Puerto Rico,Voltage Reduction
2005-04-23 00:00:00,6:00 a.m,"Cleveland, Ohio and northeast Ohio ",Winter Storm
2005-04-30 00:00:00,8:00 a.m.,Alabama and Georgia,Thunderstorms
2005-05-08 00:00:00,3:00 p.m.,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms
2005-05-11 00:00:00,7:00 p.m.,Island of Puerto Rico,Voltage Reduction
2005-05-29 00:00:00,8:00 p.m.,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms
2005-06-05 00:00:00,2:00 p.m.,Southeast  Michigan,Strong Thunderstorm/High Winds
2005-06-05 00:00:00,2:00 p.m.,Portions of  the southern 2/3 of  Michigan's Lower Peninsula,Strong Thunderstorm
2005-06-06 00:00:00,12:00 p.m.,Central/Eastern New York state,Strong Thunderstorms
2005-06-06 00:00:00,4:43  p.m.,"Bucks, Montgomery, Delaware, Chester, Philadelphia counties, Pennsylvania",Strong Thunderstorm
2005-06-08 00:00:00,4:00 a.m.,Minnesota,Strong Thunderstorm
2005-06-20 00:00:00,11:16 a.m.,Island of Puerto Rico,Voltage Reduction
2005-06-24 00:00:00,8:37 p.m.,"Chicago, Illinois",Transmission Equipment Failure
2005-06-28 00:00:00,11:30 a.m.,Denver Metropolitan area of Colorado,Fuel Supply Deficiency/Coal Rail Transportation Interruption
2005-06-29 00:00:00,4:30 p.m.,Southeast  Michigan,Strong Thunderstorm/High Winds
2005-07-02 00:00:00,1:27 a.m.,Island of Puerto Rico,Load Shedding
2005-07-05 00:00:00,9:00 p.m.,"Southeast and Northeast, Louisiana including the New Orleans area",Tropical Storm Cindy
2005-07-10 00:00:00,8:00 a.m.,"Alabama, Mississippi, Florida, Georgia",Hurricane Dennis
2005-07-10 00:00:00,12:53 p.m.,Southwest Alabama and Western Panhandle of Florida,Hurricane Dennis
2005-07-21 00:00:00,2:39 p.m.,Southern California,CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program
2005-07-22 00:00:00,1:55 p.m.,Southern California ,CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program
2005-07-23 00:00:00,1:02 a.m.,"Washington, DC, Montgomery and Prince Georges Counties, Maryland",Severe Thunderstorms
2005-07-27 00:00:00,4:50 p.m,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",Severe Thunderstorms
2005-07-27 00:00:00,5:50 p.m.,"Washington, DC, Montgomery and Prince Georges Counties, Maryland",Severe Thunderstorm
2005-07-27 00:00:00,6:00 p.m.,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",Severe Thunderstorms
2005-07-28 00:00:00,8:30 p.m.,Piedmont North and South Carolina,Severe Thunderstorm
2005-08-01 00:00:00,10:28 a.m.,Island of Puerto Rico,Voltage Reduction/Load Shed
2005-08-08 00:00:00,12:38 p.m.,"San Francisco Bay area, California",Plant Tripped
2005-08-19 00:00:00,7:37 p.m.,Island of Puerto Rico,Voltage Reduction/Load Shed
2005-08-20 00:00:00,2:15 p.m.,Northwest Arkansas,Severe Thunderstorms
