,Unnamed: 0,Event Type,Valid Date,Valid Time,State,Cities,Counties,Dirty
927,2919,Severe Weather,10/17/2019,0:45:00,Connecticut: Rhode Island: Massachusetts: Vermont: New Hampshire: Maine:,,,
928,2922,Severe Weather,10/20/2019,22:15:00,Texas,,"Cass County, Cameron County, Collin County, Dallas County, Ellis County, Erath County, Hunt County, Kaufman County, Lamar County, Panola County, Rains County, Rockwall County, Rusk County, Tarrant County, Van Zandt County, Wood County;",
929,2931,Severe Weather,10/26/2019,5:15:00,Louisiana,,,
930,2932,Severe Weather,10/26/2019,18:00:00,Tennessee,,,
931,2938,Severe Weather,11/1/2019,1:00:00,New York,,,
932,2939,Severe Weather,11/1/2019,1:15:00,Connecticut: Maine: Massachusetts: Rhode Island: New Hampshire: Vermont:,,,
933,2940,Severe Weather,11/1/2019,2:41:00,New York,,Broome County;,
937,2952,Severe Weather,11/26/2019,18:07:00,California,,,
939,2954,Severe Weather,11/27/2019,12:00:00,Michigan,,"Tuscola County, Sanilac County, Huron County, St. Clair County, Macomb County, Oakland County, Wayne County, Livingston County, Washtenaw County, Monroe County;",
943,2977,Severe Weather,1/11/2020,23:02:00,North Carolina: South Carolina:,,,
944,2978,Severe Weather,1/11/2020,3:30:00,Arkansas: Texas:,,,
945,2979,Severe Weather,1/11/2020,13:20:00,Tennessee,,,
946,2980,Severe Weather,1/11/2020,12:50:00,Alabama: Georgia: Mississippi:,,,
949,2994,Severe Weather,2/7/2020,16:25:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,,,
950,2995,Severe Weather,2/7/2020,14:42:00,New York,,,
951,2997,Severe Weather,2/7/2020,8:48:00,Virginia: North Carolina:,,,
953,2999,Severe Weather,2/9/2020,9:30:00,California,,"Alameda County, Contra Costa County, El Dorado County, Nevada County, Placer County, Sierra County, Santa Clara County, Napa County, Marin County, Santa Cruz County;",
957,3006,Severe Weather,2/17/2020,4:00:00,Northern and Central California;,,,
962,3020,Severe Weather,3/16/2020,12:01:00,California,,,
967,3032,Severe Weather,3/24/2020,2:55:00,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,,,
969,3038,Severe Weather,3/31/2020,11:45:00,Alabama: Georgia:,,,
972,3045,Severe Weather,4/5/2020,15:46:00,California,,Stanislaus County;,
973,3047,Severe Weather,4/8/2020,21:57:00,Ohio: Kentucky:,,,
974,3048,Severe Weather,4/8/2020,22:03:00,Indiana,,,
